law_id,law_name,domain_code,law_type_code,ministry_name
0cd4c992-3430-48f5-bca6-d760dd00f06d,안전기준 등록,ELECTRIC,NOTICE,행정안전부
a8d1fc68-6038-4b2a-a267-7961335f7cfe,안전기준 등록,ELECTRIC,NOTICE,행정안전부
25353d5a-707f-46c3-9c8f-7a8b91289de5,안전기준 등록,ELECTRIC,NOTICE,행정안전부
01022e9d-ae28-41c3-b8e5-82741c4eec85,안전기준 등록,ELECTRIC,NOTICE,행정안전부
8fb7639c-b351-4754-a930-5366a3124701,안전기준 등록,ELECTRIC,NOTICE,행정안전부
1d02731d-97a0-47d1-8127-df8f6c0b7f3c,안전기준 등록,ELECTRIC,NOTICE,행정안전부
465a3ee7-2231-40e1-9684-2c195c439c3d,안전기준 등록,ELECTRIC,NOTICE,행정안전부
2beb6544-913a-4b90-b826-92c371f1a793,안전기준심의회 운영규정,ELECTRIC,NOTICE,행정안전부
5072e093-9293-4530-a662-fcddef53d4f1,안전기준준수대상생활용품의 안전기준,ELECTRIC,NOTICE,국가기술표준원
e07f55d8-596d-4efe-a9b1-2db76c38eea1,안전인증대상생활용품의 안전기준,ELECTRIC,NOTICE,국가기술표준원
9609c330-cb25-4898-85c5-4596985078a6,안전확인대상생활용품의 안전기준,ELECTRIC,NOTICE,국가기술표준원
eafc8489-af36-404c-b201-aa2eb13a1080,의료기기의 전기·기계적 안전에 관한 공통기준규격,ELECTRIC,NOTICE,식품의약품안전처
a78922e4-df1f-4920-b3e8-0b8ad1718501,자유무역협정체결로 인정되는 자동차 안전기준,ELECTRIC,NOTICE,국토교통부
849a8675-ac7c-43cd-97c8-6c1ab0e92706,전기기기 공인시험 기준 및 방법에 관한 요령,ELECTRIC,NOTICE,산업통상부
65115a9c-c3f7-4f7e-88ca-2a882a396697,전기설비기술기준,ELECTRIC,STANDARD,산업통상부
570d6015-d026-417b-93ef-8fc1ef4f8205,전기설비기술기준 운영요령,ELECTRIC,NOTICE,기후에너지환경부
2a32487f-95b0-4489-9dfc-f19d2e24c87b,전기용품 안전기준 부적합시 처리기준,ELECTRIC,NOTICE,국가기술표준원
eefd7d97-6251-45ec-9ac7-4e5d55e4faba,전기용품 안전기준(K 10020),ELECTRIC,NOTICE,국가기술표준원
4fda425a-0af5-42b0-bc07-73812bea46ea,전기용품 안전기준(K 10021),ELECTRIC,NOTICE,국가기술표준원
5993aa0f-8bf6-43d5-8ce4-be174219a299,전기용품 안전기준(KC 10018),ELECTRIC,NOTICE,국가기술표준원
b074a4af-4f23-4c61-9149-633bdfa284d2,전기용품 안전기준(KC 10023),ELECTRIC,NOTICE,국가기술표준원
28a520a1-adc2-4e7f-866e-ae23beea3de8,전기용품 안전기준(KC 10025),ELECTRIC,NOTICE,국가기술표준원
0208b77e-7d2b-4eac-a375-5842594b7ae5,전기용품 안전기준(KC 60335-1),ELECTRIC,NOTICE,국가기술표준원
ddbc13b3-5299-453a-b421-becc24c3b284,전기용품 안전기준(KC 60335-2-100),ELECTRIC,NOTICE,국가기술표준원
ea971f6a-dc9a-43c9-b945-cfafc75aaf54,전기용품 안전기준(KC 60335-2-102),ELECTRIC,NOTICE,국가기술표준원
a175ef0c-22b9-4ede-974c-85a52e3d9fa3,전기용품 안전기준(KC 60335-2-11),ELECTRIC,NOTICE,국가기술표준원
fd77c930-ffe4-4c71-b81a-d5df7c9bcab3,전기용품 안전기준(KC 60335-2-15),ELECTRIC,NOTICE,국가기술표준원
74395b40-6528-4728-9496-cd099618f76a,전기용품 안전기준(KC 60335-2-17),ELECTRIC,NOTICE,국가기술표준원
6c6bc2e9-55b3-4441-9267-4d7262ebc75c,전기용품 안전기준(KC 60335-2-21),ELECTRIC,NOTICE,국가기술표준원
d891c66b-eb53-41fe-b616-8c74998c1243,전기용품 안전기준(KC 60335-2-23),ELECTRIC,NOTICE,국가기술표준원
1af62962-0c3e-4223-94e4-60a2dfe5a48a,전기용품 안전기준(KC 60335-2-24),ELECTRIC,NOTICE,국가기술표준원
6dab1c77-b47c-4d4f-940e-cfb4f0b7dbcc,전기용품 안전기준(KC 60335-2-25),ELECTRIC,NOTICE,국가기술표준원
7e8208a1-3ab8-4b95-9bc3-aed8a70b0458,전기용품 안전기준(KC 60335-2-29),ELECTRIC,NOTICE,국가기술표준원
